client_name,matched_side,vendor_key,confidence,method,ambiguous,runner_up
"The New York City Arts-in-Education Roundtable, Inc.",client,NYC ARTS IN EDUCATION ROUND TABLE,0.9,truncation,True,0.9
"Zeta Charter Schools, Inc.",client,ZETA CHARTER SCHOOLS NEW YORK CITY,0.72,containment,False,0.58
"Success Academy Charter Schools, Inc.",client,HARLEM SUCCESS ACADEMY CHARTER SCHOOL,0.72,containment,True,0.72
The Young Men's and Young Women's Hebrew Association,client,YOUNG MEN S & WOMEN S HEBREW ASSOCIATION YM WHA,0.72,containment,False,0.47
The Trustees of Columbia University in the City of New York,client,TRUSTEES OF COLUMBIA UNIVERSITY,0.72,containment,False,0.58
"Citizens' Committee for Children of New York, Inc.",client,COMMITTEE FOR CHILDREN,0.72,containment,False,0.58
New York Shakespeare Festival,client,HUDSON VALLEY SHAKESPEARE FESTIVAL,0.72,containment,False,0.58
Council of School Supervisors and Administrators,client,COUNCIL OF SUPERVISORS & ADMINISTRATORS ADMINISTRATIVE FUND,0.72,containment,True,0.72
"Teachers College, Columbia University",client,TEACHERS COLLEGE,0.72,containment,False,0.58
"Red Hat, Inc.",client,RED HAT DAY CARE CENTER,0.72,containment,False,0.333
"Tishman Speyer Properties, L.P.",client,RCPI LANDMARK PROPERTIES LLC C O TISHMAN SPEYER PROPERTIES,0.72,containment,False,0.25
Hewlett Packard Enterprise Company,client,HEWLETT PACKARD,0.72,containment,True,0.72
"Simon Wiesenthal Center, Inc.",client,SIMON WIESENTHAL CENTER MUSEUM OF TOLERANCE,0.72,containment,False,0.333
"Reel Stories Teen Filmmaking, Inc.",client,REEL STORIES TEEN FILMMAKING INC REEL WORKS TEEN FILMMAKING,0.72,containment,False,0.58
"First Student, Inc. for the benefit of First Student, Inc. and Total Transportation Corp.",client,STUDENTS FIRST SERVICES,0.72,containment,False,0.58
"First Student, Inc. for the benefit of First Student, Inc., L & M Bus Corp., Pride Transportation Inc., Quality Transportation Corp., and Total Transportation Corp.",client,STUDENTS FIRST SERVICES,0.72,containment,True,0.72
"First Student, Inc. on behalf of Bella Bus Corp.; L & M Bus Corp.; Pride Transportation Services Inc.; Quality Transportation Corp. and Total Transportation Corp.",client,STUDENTS FIRST SERVICES,0.72,containment,True,0.72
"Hamaspik of Kings County, Inc.",client,KINGS COUNTY,0.72,containment,False,0.58
Cement & Concrete Workers District Council Laborers-Employers Cooperation and Education Trust Fund,client,DISTRICT MANAGEMENT COUNCIL,0.72,containment,False,0.58
The State University of New York on behalf of The State University of New York at Stony Brook,client,UNIVERSITY OF VT & STATE AGRICULTURAL COLLEGE,0.72,containment,True,0.72
"Math, Engineering, and Science (MESA) Academy Charter High School",client,MATH ENGINEERING & SCIENCE ACADEMY CHARTER HIGH SCHOOL,0.72,containment,False,0.58
"Motion Picture Association, Inc.",client,SWANK MOTION PICTURES,0.72,containment,False,0.58
"Beginning with Children Foundation, Inc.",client,BEGINNING WITH CHILDREN CHARTER SCHOOL,0.72,containment,True,0.72
"World Wide Technology, Inc.",client,WORLD WIDE TOURS OF GREATER NY,0.72,containment,True,0.72
"World Wide Technology, LLC",client,WORLD WIDE TOURS OF GREATER NY,0.72,containment,True,0.72
Verizon Corporate Resources Group LLC,client,CORPORATE RESOURCE DEVELOPMENT,0.72,containment,False,0.58
Agudath Israel of America,client,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES,0.72,containment,False,0.333
New York City and Vicinity District Council,client,DISTRICT MANAGEMENT COUNCIL,0.72,containment,False,0.58
Museum of Jewish Heritage: A Living Memorial to the Holocaust,client,A LIVING MEMORIAL TO THE HOLOCAUST MUSEUM OF JEWISH,0.72,containment,True,0.72
"United Parcel Service, Inc.",client,UNITED PARCEL SERVICE NY,0.72,containment,False,0.58
NYC Community Medical Care P.C.,client,TAKE CARE MEDICAL HEALTH NEW YORK,0.72,containment,False,0.58
New York Junior Tennis and Learning,client,NEW YORK JUNIOR TENNIS LEAGUE,0.72,containment,True,0.72
"McDonald's USA, LLC.",client,USA MCDONALD CORPORATION NORCO PRODUCTS,0.72,containment,False,0.58
"New Green Willets, LLC",client,E B GREEN CONSULTING,0.58,containment,True,0.58
"Revolution Foods, Inc.",client,NATIONAL CENTER FOR THE AMERICAN REVOLUTION,0.58,containment,True,0.58
"New York City Central Labor Council, AFL-CIO",client,AMERICAN COUNCILS FOR INTERNATIONAL EDUCATION,0.58,containment,False,0.286
"New York Blood Center, Inc.",client,MOST PRECIOUS BLOOD ROMAN CATHOLIC CHURCH,0.58,containment,True,0.58
"ROAR New York, Inc.",client,ROAR CONSULTING,0.58,containment,False,
"Real Builders, Inc.",client,ED BUILDERS,0.58,containment,False,0.333
RTB Distributors LLC,client,C & H DISTRIBUTORS,0.58,containment,True,0.58
New York Recycling Solutions LLC,client,A&L CESSPOOL SERVICE CORP A&L RECYCLING,0.58,containment,False,
Queens Center SPE LLC,client,QUEEN LEARNING,0.58,containment,False,0.333
Prestige Properties & Development  Co.,client,PRESTIGE,0.58,containment,True,0.58
Pinnacle Energy Group Inc.,client,PINNACLE EDUCATION SERVICES,0.58,containment,False,0.333
"Palo Alto Networks, Inc.",client,NEW TECHNOLOGY NETWORK,0.58,containment,True,0.58
"PM Pediatrics Management Group, LLC",client,NEW ENGLAND LONG TERM CARE INC NE PEDIATRIC CARE,0.58,containment,True,0.58
Northeast Charter Schools Network Inc,client,COMMUNITY PARTNERSHIP CHARTER SCHOOL,0.58,containment,True,0.58
"Roof Asset Management, U.S.A., Ltd.",client,J & J ASSETS,0.58,containment,False,0.333
Robin Hood Foundation,client,MY ROBIN,0.58,containment,False,0.333
